Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2004;125.624
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2003;27.337
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2002;11.010
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2001;18.135
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2000;23.482
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2020;3.001
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2018;5.361
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2016;2.744
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2014;5.434
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2013;4.312
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2012;5.199
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2011;2.452
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2010;9.629
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2009;7.048
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2008;6.570
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2007;4.636
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2006;3.165
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2005;3.704
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2004;4.948
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2003;1.285
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2002;2.196
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2001;13.344
Total Nacional;16 País Vasco;Importe total de la inversión en los servicios de suministro;2000;1.965
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2020;304
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2018;121
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2016;2.988
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2014;3.823
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2013;2.824
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2012;2.338
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2011;230
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2010;665
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2009;7.318
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2008;340
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2007;2.555
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2006;2.966
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2005;2.289
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2004;5.403
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2003;7.324
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2002;3.747
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2001;992
Total Nacional;17 Rioja, La;Importe total de la inversión en los servicios de suministro;2000;21.035
